No,種別,店名(日本語読み),店名(ハングル),ジャンル,料理の詳細,犬の同伴,テラス席,エリア(日),エリア(韓),区,住所(ハングル),緯度,経度,評価,口コミ数,業態,Googleマップ,NAVERマップ,DiningCode,カテゴリ原文(韓)
35,レストラン,ホジェネ,호재네 천호역,韓国料理,骨付き肉の炙り焼き・韓国居酒屋,店内OK,なし,風納洞（プンナプドン）,풍납동,松坡区,서울특별시 송파구 올림픽로 607 201호,37.536027,127.1221905,4,2,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.536027%2C127.1221905,https://map.naver.com/p/search/%ED%98%B8%EC%9E%AC%EB%84%A4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%86%A1%ED%8C%8C%EA%B5%AC%20%EC%98%AC%EB%A6%BC%ED%94%BD%EB%A1%9C%20607%20201%ED%98%B8,https://www.diningcode.com/profile.php?rid=7BIvQ4RYBMtF,"술집, 뼈구이"
36,レストラン,ソアジン ルーフトップ,서아진 루프탑 송리단길점,パブ,ルーフトップパブ,店内OK,あり,松里団キル,송리단길,松坡区,서울특별시 송파구 백제고분로43길 27 5층,37.509272,127.107794,4.5,1,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.509272%2C127.107794,https://map.naver.com/p/search/%EC%84%9C%EC%95%84%EC%A7%84%20%EB%A3%A8%ED%94%84%ED%83%91%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%86%A1%ED%8C%8C%EA%B5%AC%20%EB%B0%B1%EC%A0%9C%EA%B3%A0%EB%B6%84%EB%A1%9C43%EA%B8%B8%2027%205%EC%B8%B5,https://www.diningcode.com/profile.php?rid=BcBYRZBtvIpt,"펍, 루프탑"
37,レストラン,パルォル・チャンチナル,팔월잔칫날 광장동,焼肉,サムギョプサル（豚焼肉）,店内OK,なし,広壮洞（クァンジャンドン）,광장동,広津区,서울특별시 광진구 아차산로76길 5 1층,37.5479534,127.1076413,3.8,7,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5479534%2C127.1076413,https://map.naver.com/p/search/%ED%8C%94%EC%9B%94%EC%9E%94%EC%B9%AB%EB%82%A0%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B4%91%EC%A7%84%EA%B5%AC%20%EC%95%84%EC%B0%A8%EC%82%B0%EB%A1%9C76%EA%B8%B8%205%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=CYR90QgK1gUw,"삼겹살, 돼지고기"
38,レストラン,キジョルチョプン・ムルタッカルビ,기절초풍물닭갈비 자양동,韓国料理,汁だくタッカルビ,店内OK,なし,紫陽洞（チャヤンドン）,자양동,広津区,서울특별시 광진구 자양로13길 88-1 1층,37.5329754,127.0802116,3.8,4,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5329754%2C127.0802116,https://map.naver.com/p/search/%EA%B8%B0%EC%A0%88%EC%B4%88%ED%92%8D%EB%AC%BC%EB%8B%AD%EA%B0%88%EB%B9%84%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B4%91%EC%A7%84%EA%B5%AC%20%EC%9E%90%EC%96%91%EB%A1%9C13%EA%B8%B8%2088-1%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=lnJVWLLV2apT,"물닭갈비, 캠핑"
39,レストラン,ヌンドン・タコ屋,능동타코집 군자역,メキシコ料理,タコス・ケサディーヤ,店内OK,なし,君子（クンジャ）,군자,広津区,서울특별시 광진구 능동로32길 5,37.5553088,127.0790865,4,4,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5553088%2C127.0790865,https://map.naver.com/p/search/%EB%8A%A5%EB%8F%99%ED%83%80%EC%BD%94%EC%A7%91%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B4%91%EC%A7%84%EA%B5%AC%20%EB%8A%A5%EB%8F%99%EB%A1%9C32%EA%B8%B8%205,https://www.diningcode.com/profile.php?rid=cj6vaQ9kbfE5,"타코, 퀘사디아"
40,レストラン,グレベル,그레베르 구의동,イタリアン,パスタ・ピザ,店内OK,なし,広壮洞（クァンジャンドン）,광장동,広津区,서울특별시 광진구 광나루로 595 상가동 1층 그레베르,37.5422785,127.0950313,3.6,5,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5422785%2C127.0950313,https://map.naver.com/p/search/%EA%B7%B8%EB%A0%88%EB%B2%A0%EB%A5%B4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B4%91%EC%A7%84%EA%B5%AC%20%EA%B4%91%EB%82%98%EB%A3%A8%EB%A1%9C%20595%20%EC%83%81%EA%B0%80%EB%8F%99%201%EC%B8%B5%20%EA%B7%B8%EB%A0%88%EB%B2%A0%EB%A5%B4,https://www.diningcode.com/profile.php?rid=rD6BAb8a1KoJ,"파스타, 피자"
41,レストラン,オステリア オアロ,오스테리아 오알오 군자역,イタリアン,イタリアンダイニング,店内OK,なし,陵洞（ヌンドン）,능동,広津区,"서울특별시 광진구 능동로 282 1,2층",37.554946,127.0786214,5,1,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.554946%2C127.0786214,https://map.naver.com/p/search/%EC%98%A4%EC%8A%A4%ED%85%8C%EB%A6%AC%EC%95%84%20%EC%98%A4%EC%95%8C%EC%98%A4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B4%91%EC%A7%84%EA%B5%AC%20%EB%8A%A5%EB%8F%99%EB%A1%9C%20282%201%2C2%EC%B8%B5,https://www.diningcode.com/profile.php?rid=vjB2Tw7FCMZ0,"파스타, 이탈리안다이닝"
42,レストラン,マウディ,마우디 연희동,イタリアン,パスタ・ニョッキ,店内OK,なし,延禧洞（ヨニドン）,연희동,西大門区,서울특별시 서대문구 연희로11길 18,37.5674593,126.9301258,3.9,33,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5674593%2C126.9301258,https://map.naver.com/p/search/%EB%A7%88%EC%9A%B0%EB%94%94%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EB%8C%80%EB%AC%B8%EA%B5%AC%20%EC%97%B0%ED%9D%AC%EB%A1%9C11%EA%B8%B8%2018,https://www.diningcode.com/profile.php?rid=KbVZGHXHOjYa,"파스타, 뇨끼"
43,レストラン,ラア,라아 연희동,イタリアン,からすみパスタなど,店内OK,なし,延禧洞（ヨニドン）,연희동,西大門区,서울특별시 서대문구 연희로11라길 10-8 1층,37.5684723,126.9303991,4.5,7,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5684723%2C126.9303991,https://map.naver.com/p/search/%EB%9D%BC%EC%95%84%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EB%8C%80%EB%AC%B8%EA%B5%AC%20%EC%97%B0%ED%9D%AC%EB%A1%9C11%EB%9D%BC%EA%B8%B8%2010-8%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=lmKq4qun6xYt,"파스타, 어란파스타"
44,レストラン,ムンタロ,문타로 연희동,居酒屋,焼き鳥・和風居酒屋,店内OK,なし,延禧洞（ヨニドン）,연희동,西大門区,서울특별시 서대문구 연희맛로 17-49 지층 1호,37.5670151,126.9289266,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5670151%2C126.9289266,https://map.naver.com/p/search/%EB%AC%B8%ED%83%80%EB%A1%9C%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EB%8C%80%EB%AC%B8%EA%B5%AC%20%EC%97%B0%ED%9D%AC%EB%A7%9B%EB%A1%9C%2017-49%20%EC%A7%80%EC%B8%B5%201%ED%98%B8,https://www.diningcode.com/profile.php?rid=BfR1WhxH6uEH,"이자카야, 야키토리"
45,レストラン,シーケイブ,씨케이브 연희동,洋食,洋食・パスタ,店内OK,あり,延禧洞（ヨニドン）,연희동,西大門区,서울특별시 서대문구 연희로 89-12 102호,37.5665074,126.9298901,5,2,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5665074%2C126.9298901,https://map.naver.com/p/search/%EC%94%A8%EC%BC%80%EC%9D%B4%EB%B8%8C%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EB%8C%80%EB%AC%B8%EA%B5%AC%20%EC%97%B0%ED%9D%AC%EB%A1%9C%2089-12%20102%ED%98%B8,https://www.diningcode.com/profile.php?rid=kMNZfO9itkRZ,"양식, 파스타"
46,レストラン,カリフハウス,칼리프하우스 문래,ブランチ,ブランチ（屋上席あり）,店内OK,あり,文来（ムンレ）,문래,永登浦区,서울특별시 영등포구 도림로139길 2-2 칼리프하우스 문래,37.5146723,126.8933523,4.1,14,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5146723%2C126.8933523,https://map.naver.com/p/search/%EC%B9%BC%EB%A6%AC%ED%94%84%ED%95%98%EC%9A%B0%EC%8A%A4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%98%81%EB%93%B1%ED%8F%AC%EA%B5%AC%20%EB%8F%84%EB%A6%BC%EB%A1%9C139%EA%B8%B8%202-2%20%EC%B9%BC%EB%A6%AC%ED%94%84%ED%95%98%EC%9A%B0%EC%8A%A4%20%EB%AC%B8%EB%9E%98,https://www.diningcode.com/profile.php?rid=hLm2ihJFGkEc,브런치
47,レストラン,ソンジュ・ブル冷麺,송주불냉면 영등포점,韓国料理,激辛冷麺,店内OK,なし,堂山（タンサン）,당산,永登浦区,서울 영등포구 당산로28길 6 1층 우측호,37.5246238,126.8971782,4.5,1,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5246238%2C126.8971782,https://map.naver.com/p/search/%EC%86%A1%EC%A3%BC%EB%B6%88%EB%83%89%EB%A9%B4%20%EC%84%9C%EC%9A%B8%20%EC%98%81%EB%93%B1%ED%8F%AC%EA%B5%AC%20%EB%8B%B9%EC%82%B0%EB%A1%9C28%EA%B8%B8%206%201%EC%B8%B5%20%EC%9A%B0%EC%B8%A1%ED%98%B8,https://www.diningcode.com/profile.php?rid=AE1Z014tKqTM,"냉면, 매운냉면"
48,レストラン,スギネ・タッカンマリカルグクス,숙이네닭한마리칼국수 영등포,韓国料理,タッカンマリ（鶏一羽鍋）,店内OK,なし,道林洞（トリムドン）,도림동,永登浦区,서울특별시 영등포구 도림로108길 10-1 1층,37.5075363,126.9022266,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5075363%2C126.9022266,https://map.naver.com/p/search/%EC%88%99%EC%9D%B4%EB%84%A4%EB%8B%AD%ED%95%9C%EB%A7%88%EB%A6%AC%EC%B9%BC%EA%B5%AD%EC%88%98%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%98%81%EB%93%B1%ED%8F%AC%EA%B5%AC%20%EB%8F%84%EB%A6%BC%EB%A1%9C108%EA%B8%B8%2010-1%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=mCL4zTXcH2hg,"닭한마리, 아이스티"
49,レストラン,ミルゴレ,밀거래 성신여대,日本料理,日本の家庭料理・鮭いくら丼,店内OK,なし,誠信女大（ソンシンヨデ）,성신여대,城北区,서울특별시 성북구 동소문로22길 57-6,37.590586,127.018983,3.6,5,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.590586%2C127.018983,https://map.naver.com/p/search/%EB%B0%80%EA%B1%B0%EB%9E%98%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%B6%81%EA%B5%AC%20%EB%8F%99%EC%86%8C%EB%AC%B8%EB%A1%9C22%EA%B8%B8%2057-6,https://www.diningcode.com/profile.php?rid=h9Dkl2sINVlU,"일본가정식, 사케동"
50,レストラン,中華料理 パルゴン,중화요리 팔공,中華,ジャージャー麺・中華,店内OK,なし,禿山洞（トクサンドン）,독산동,衿川区,서울특별시 관악구 남부순환로 1680,37.4841291,126.9371692,4.6,35,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4841291%2C126.9371692,https://map.naver.com/p/search/%EC%A4%91%ED%99%94%EC%9A%94%EB%A6%AC%20%ED%8C%94%EA%B3%B5%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B4%80%EC%95%85%EA%B5%AC%20%EB%82%A8%EB%B6%80%EC%88%9C%ED%99%98%EB%A1%9C%201680,https://www.diningcode.com/profile.php?rid=SlU4iocpXug7,짜장면
51,カフェ,チョンサンガオク（天上家屋）,천상가옥 성수,ベーカリーカフェ,焼き菓子・パン・コーヒー,店内OK,あり,聖水（ソンス）,성수,城東区,서울특별시 성동구 성수이로14길 14 A동 3층,37.54166,127.056862,4.2,46,ベーカリー,https://www.google.com/maps/search/?api=1&query=37.54166%2C127.056862,https://map.naver.com/p/search/%EC%B2%9C%EC%83%81%EA%B0%80%EC%98%A5%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%84%B1%EC%88%98%EC%9D%B4%EB%A1%9C14%EA%B8%B8%2014%20A%EB%8F%99%203%EC%B8%B5,https://www.diningcode.com/profile.php?rid=kvhFvQegWELq,"베이커리, 카페"
52,カフェ,メイプルトップ,메이플탑 성수,ブランチカフェ,パンケーキ・ブランチ,店内OK,あり,聖水（ソンス）,성수,城東区,서울특별시 성동구 성수이로14길 14 성수연방 A동 2층,37.54166,127.056862,4,15,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.54166%2C127.056862,https://map.naver.com/p/search/%EB%A9%94%EC%9D%B4%ED%94%8C%ED%83%91%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%84%B1%EC%88%98%EC%9D%B4%EB%A1%9C14%EA%B8%B8%2014%20%EC%84%B1%EC%88%98%EC%97%B0%EB%B0%A9%20A%EB%8F%99%202%EC%B8%B5,https://www.diningcode.com/profile.php?rid=Mwx2QHcLyJhZ,"브런치, 팬케이크"
53,カフェ,ペルルン,펠른 서울숲,カフェ,デザート・コーヒー,店内OK,なし,ソウルの森,서울숲,城東区,서울 성동구 서울숲2길 6 1층,37.547675,127.0396274,4,16,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.547675%2C127.0396274,https://map.naver.com/p/search/%ED%8E%A0%EB%A5%B8%20%EC%84%9C%EC%9A%B8%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%84%9C%EC%9A%B8%EC%88%B22%EA%B8%B8%206%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=NNdHz4iy8z3H,"카페, 디저트"
54,カフェ,ボマーケット ソウルの森店,보마켓 서울숲점,カフェ,雑貨カフェ・コーヒー・軽食,店内OK,なし,ソウルの森,서울숲,城東区,서울특별시 성동구 왕십리로 83-21,37.543868,127.0441334,3.7,9,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.543868%2C127.0441334,https://map.naver.com/p/search/%EB%B3%B4%EB%A7%88%EC%BC%93%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%99%95%EC%8B%AD%EB%A6%AC%EB%A1%9C%2083-21,https://www.diningcode.com/profile.php?rid=3QS7mIZFwjlf,"소품카페, 커피"
55,カフェ,カフェ グリンルーム,카페 그린룸 GRIN ROOM 성수,カフェ,ルーフトップカフェ,店内OK,あり,聖水（ソンス）,성수,城東区,서울특별시 성동구 왕십리로 136 3층,37.5497636,127.0445962,5,2,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5497636%2C127.0445962,https://map.naver.com/p/search/%EC%B9%B4%ED%8E%98%20%EA%B7%B8%EB%A6%B0%EB%A3%B8%20GRIN%20ROOM%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%99%95%EC%8B%AD%EB%A6%AC%EB%A1%9C%20136%203%EC%B8%B5,https://www.diningcode.com/profile.php?rid=TVkCOretCfXl,"카페, 루프탑"
56,カフェ,ピリコーヒー,필리커피 망원동,カフェ,クロワッサン・ラテ,店内OK,あり,望遠（マンウォン）,망원,麻浦区,"서울특별시 마포구 월드컵로25길 26 101동 1-021, 022호",37.5582009,126.9058687,4.6,13,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5582009%2C126.9058687,https://map.naver.com/p/search/%ED%95%84%EB%A6%AC%EC%BB%A4%ED%94%BC%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%A7%88%ED%8F%AC%EA%B5%AC%20%EC%9B%94%EB%93%9C%EC%BB%B5%EB%A1%9C25%EA%B8%B8%2026%20101%EB%8F%99%201-021%2C%20022%ED%98%B8,https://www.diningcode.com/profile.php?rid=w3SoOJIKzwae,"크로와상, 라떼"
57,カフェ,クムス延南,금수연남 연남동,カフェ,デザートカフェ,店内OK,なし,延南洞（ヨンナムドン）,연남동,麻浦区,서울특별시 마포구 동교로39길 7 2층,37.562118,126.924067,5,2,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.562118%2C126.924067,https://map.naver.com/p/search/%EA%B8%88%EC%88%98%EC%97%B0%EB%82%A8%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%A7%88%ED%8F%AC%EA%B5%AC%20%EB%8F%99%EA%B5%90%EB%A1%9C39%EA%B8%B8%207%202%EC%B8%B5,https://www.diningcode.com/profile.php?rid=KLtPVEwDY5d9,"카페, 디저트"
58,カフェ,カフェ ドゥニュ,카페 드뉴 광흥창역,カフェ,エッグタルト・コーヒー,店内OK,なし,広興倉（クァンフンチャン）,광흥창,麻浦区,서울특별시 마포구 독막로24길 11 1층,37.5466871,126.9327919,4.5,3,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5466871%2C126.9327919,https://map.naver.com/p/search/%EC%B9%B4%ED%8E%98%20%EB%93%9C%EB%89%B4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%A7%88%ED%8F%AC%EA%B5%AC%20%EB%8F%85%EB%A7%89%EB%A1%9C24%EA%B8%B8%2011%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=WEtuSAGcu1Ih,"카페, 에그타르트"
59,カフェ,ハグハグラブ,허그허그러브 연남동,ブランチカフェ,バゲットサンド・ブランチ,店内OK,あり,延南洞（ヨンナムドン）,연남동,麻浦区,서울특별시 마포구 동교로51길 111 2층,37.5663007,126.9208511,4.7,2,ベーカリー,https://www.google.com/maps/search/?api=1&query=37.5663007%2C126.9208511,https://map.naver.com/p/search/%ED%97%88%EA%B7%B8%ED%97%88%EA%B7%B8%EB%9F%AC%EB%B8%8C%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%A7%88%ED%8F%AC%EA%B5%AC%20%EB%8F%99%EA%B5%90%EB%A1%9C51%EA%B8%B8%20111%202%EC%B8%B5,https://www.diningcode.com/profile.php?rid=TshF51Xwerxw,"브런치, 바게트샌드위치"
60,カフェ,コーヒーリブレ,커피 리브레 파란점,コーヒー専門,スペシャルティコーヒー焙煎,店内OK,あり,延南洞（ヨンナムドン）,연남동,麻浦区,"서울특별시 마포구 성미산로29길 17-8 1, 2층",37.5647464,126.9218932,3.5,2,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5647464%2C126.9218932,https://map.naver.com/p/search/%EC%BB%A4%ED%94%BC%20%EB%A6%AC%EB%B8%8C%EB%A0%88%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%A7%88%ED%8F%AC%EA%B5%AC%20%EC%84%B1%EB%AF%B8%EC%82%B0%EB%A1%9C29%EA%B8%B8%2017-8%201%2C%202%EC%B8%B5,https://www.diningcode.com/profile.php?rid=gwaeDVfZ8Pug,"커피, 카페"
61,カフェ,ベーカリー ロフィン,베이커리 로핀 서교동,ベーカリー,塩パン・自家製パン,店内OK,なし,西橋洞（ソギョドン）,서교동,麻浦区,서울특별시 마포구 월드컵로10길 17 1층 베이커리로핀,37.5548406,126.9126815,5,1,ベーカリー,https://www.google.com/maps/search/?api=1&query=37.5548406%2C126.9126815,https://map.naver.com/p/search/%EB%B2%A0%EC%9D%B4%EC%BB%A4%EB%A6%AC%20%EB%A1%9C%ED%95%80%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%A7%88%ED%8F%AC%EA%B5%AC%20%EC%9B%94%EB%93%9C%EC%BB%B5%EB%A1%9C10%EA%B8%B8%2017%201%EC%B8%B5%20%EB%B2%A0%EC%9D%B4%EC%BB%A4%EB%A6%AC%EB%A1%9C%ED%95%80,https://www.diningcode.com/profile.php?rid=FFsIiEk5i5BZ,"소금빵, 베이커리"
62,カフェ,オベニュ漢南,오베뉴한남 한남동,カフェ,デザート・コーヒー,店内OK,なし,漢南洞（ハンナムドン）,한남동,龍山区,서울특별시 용산구 한남대로20길 47-18 1층,37.5352165,127.0102604,4.2,9,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5352165%2C127.0102604,https://map.naver.com/p/search/%EC%98%A4%EB%B2%A0%EB%89%B4%ED%95%9C%EB%82%A8%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9A%A9%EC%82%B0%EA%B5%AC%20%ED%95%9C%EB%82%A8%EB%8C%80%EB%A1%9C20%EA%B8%B8%2047-18%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=xgrmAiRrwCWJ,"카페, 디저트"
63,カフェ,アーキビスト 漢南,아키비스트 한남,コーヒー専門,アインシュペナー・コーヒー,店内OK,あり,漢南洞（ハンナムドン）,한남동,龍山区,서울특별시 용산구 한남대로42길 41 1층 아키비스트 한남,37.5440257,127.0030144,4.7,7,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.5440257%2C127.0030144,https://map.naver.com/p/search/%EC%95%84%ED%82%A4%EB%B9%84%EC%8A%A4%ED%8A%B8%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9A%A9%EC%82%B0%EA%B5%AC%20%ED%95%9C%EB%82%A8%EB%8C%80%EB%A1%9C42%EA%B8%B8%2041%201%EC%B8%B5%20%EC%95%84%ED%82%A4%EB%B9%84%EC%8A%A4%ED%8A%B8%20%ED%95%9C%EB%82%A8,https://www.diningcode.com/profile.php?rid=b9wCCzwEGivl,"커피, 아인슈페너"
64,カフェ,グラメド,그라메도 GRMD 숙대입구역,カフェ,バナナプディング・コーヒー,店内OK,なし,南営／淑大入口,숙대입구,龍山区,서울특별시 용산구 두텁바위로1길 22 1층,37.5456027,126.9736382,4,3,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5456027%2C126.9736382,https://map.naver.com/p/search/%EA%B7%B8%EB%9D%BC%EB%A9%94%EB%8F%84%20GRMD%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9A%A9%EC%82%B0%EA%B5%AC%20%EB%91%90%ED%85%81%EB%B0%94%EC%9C%84%EB%A1%9C1%EA%B8%B8%2022%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=42bEmy2H5Uhe,"카페, 바나나푸딩"
65,カフェ,ディ・ジンテーゼ,디 진테제 카페 이태원,コーヒー専門,スペシャルティコーヒー,店内OK,あり,梨泰院（イテウォン）,이태원,龍山区,서울특별시 용산구 녹사평대로40다길 61 1층 카페,37.5367644,126.9905934,4.5,1,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5367644%2C126.9905934,https://map.naver.com/p/search/%EB%94%94%20%EC%A7%84%ED%85%8C%EC%A0%9C%20%EC%B9%B4%ED%8E%98%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9A%A9%EC%82%B0%EA%B5%AC%20%EB%85%B9%EC%82%AC%ED%8F%89%EB%8C%80%EB%A1%9C40%EB%8B%A4%EA%B8%B8%2061%201%EC%B8%B5%20%EC%B9%B4%ED%8E%98,https://www.diningcode.com/profile.php?rid=x79hcA7cIbwE,"커피, 카페"
66,カフェ,スタッフピックス,스태픽스 서촌,カフェ,デザート・コーヒー（庭付き）,店内OK,なし,西村（ソチョン）,서촌,鍾路区,서울특별시 종로구 사직로9길 22 102호,37.5774705,126.9680306,4.1,65,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5774705%2C126.9680306,https://map.naver.com/p/search/%EC%8A%A4%ED%83%9C%ED%94%BD%EC%8A%A4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A2%85%EB%A1%9C%EA%B5%AC%20%EC%82%AC%EC%A7%81%EB%A1%9C9%EA%B8%B8%2022%20102%ED%98%B8,https://www.diningcode.com/profile.php?rid=WHpg1EeTcLmr,"카페, 디저트"
67,カフェ,カフェ アーキビスト 西村,카페 아키비스트 서촌,コーヒー専門,アインシュペナー・コーヒー,店内OK,なし,西村（ソチョン）,서촌,鍾路区,서울특별시 종로구 효자로13길 52 1층 아키비스트 서촌,37.5822184,126.9726786,4.4,59,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5822184%2C126.9726786,https://map.naver.com/p/search/%EC%B9%B4%ED%8E%98%20%EC%95%84%ED%82%A4%EB%B9%84%EC%8A%A4%ED%8A%B8%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A2%85%EB%A1%9C%EA%B5%AC%20%ED%9A%A8%EC%9E%90%EB%A1%9C13%EA%B8%B8%2052%201%EC%B8%B5%20%EC%95%84%ED%82%A4%EB%B9%84%EC%8A%A4%ED%8A%B8%20%EC%84%9C%EC%B4%8C,https://www.diningcode.com/profile.php?rid=UpdkRbI72II3,"커피, 아인슈페너"
68,カフェ,ヘリテージクラブ,헤리티지클럽 서순라길,カフェ,コーヒー（宗廟の石垣沿い）,店内OK,あり,西巡邏キル,서순라길,鍾路区,서울특별시 종로구 서순라길 75,37.5737728,126.9924895,4.4,31,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5737728%2C126.9924895,https://map.naver.com/p/search/%ED%97%A4%EB%A6%AC%ED%8B%B0%EC%A7%80%ED%81%B4%EB%9F%BD%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A2%85%EB%A1%9C%EA%B5%AC%20%EC%84%9C%EC%88%9C%EB%9D%BC%EA%B8%B8%2075,https://www.diningcode.com/profile.php?rid=fDl3HST7myKP,"커피, 카페"
69,カフェ,ベランダ,베란다 서촌,ブックカフェ,本のあるカフェ,店内OK,あり,西村（ソチョン）,서촌,鍾路区,서울특별시 종로구 사직로10길 9-4,37.5753694,126.9705503,4.4,17,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5753694%2C126.9705503,https://map.naver.com/p/search/%EB%B2%A0%EB%9E%80%EB%8B%A4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A2%85%EB%A1%9C%EA%B5%AC%20%EC%82%AC%EC%A7%81%EB%A1%9C10%EA%B8%B8%209-4,https://www.diningcode.com/profile.php?rid=fZKRvrOZXccX,"카페, 북카페"
