No,種別(日),Type (EN),名称(日本語読み),Name (English),名称(ハングル),ペット可の根拠,広域自治体(日),Region (EN),市郡区(日),City/District (EN),住所(ハングル),電話,Instagram,公式サイト,緯度,経度,評価,口コミ数,Googleマップ,カテゴリ原文(韓)
119,ホテル,Hotel,ヤンピョンムンホリダラク,Yangpyeongmunhoridarak,양평문호리다락,地図データに明記,京畿道,Gyeonggi-do,ヤンピョン郡,Yangpyeong-gun,경기 양평군 서종면 길곡2길 5,070-4103-4765,,,37.620844,127.35299,3.3,17,"https://www.google.com/maps/search/?api=1&query=37.620844,127.35299",호텔
120,ペンション,Pension,ヤンピョンハヌルホス愛犬同伴ペンション,Yangpyeonghaneulhosu Dog Friendly Pension,양평하늘호수애견동반펜션,地図データに明記,京畿道,Gyeonggi-do,ヤンピョン郡,Yangpyeong-gun,경기 양평군 지평면 월산저수지길 18,010-6682-2489,,,37.473566,127.650146,,63,"https://www.google.com/maps/search/?api=1&query=37.473566,127.650146",펜션
121,ペンション,Pension,テラペンション,Tera Pension,테라펜션,地図データに明記,京畿道,Gyeonggi-do,ヤンピョン郡,Yangpyeong-gun,경기 양평군 서종면 서능로 89,010-5218-0790,,http://www.terapension.co.kr,37.584203,127.397866,5.0,10,"https://www.google.com/maps/search/?api=1&query=37.584203,127.397866",펜션
122,ペンション,Pension,ペッリポブルリク,Petripeobeullik,펫리퍼블릭,店名から判断,京畿道,Gyeonggi-do,ヤンピョン郡,Yangpyeong-gun,경기 양평군 용문면 중원산로 521-12,010-9524-6302,,,37.546768,127.617856,,50,"https://www.google.com/maps/search/?api=1&query=37.546768,127.617856",펜션
123,ペンション,Pension,クルムモンステイ,Gureummeong Stay,구름멍스테이,地図データに明記,京畿道,Gyeonggi-do,ヨジュ市,Yeoju-si,경기 여주시 북내면 운촌2길 110-14,010-2722-9166,,,37.320529,127.717418,,6,"https://www.google.com/maps/search/?api=1&query=37.320529,127.717418",펜션
124,ペンション,Pension,トブルステイットットモン愛犬ペンション,Deobeul Stay Ttottomeong Dog Pension,더블스테이또또멍애견펜션,地図データに明記,京畿道,Gyeonggi-do,ヨンチョン郡,Yeoncheon-gun,경기 연천군 미산면 노아로 670-71,010-8561-0990,,http://더블스테이또또멍.com,38.018643,126.96333,5.0,56,"https://www.google.com/maps/search/?api=1&query=38.018643,126.96333",펜션
125,キャンプ場,Campsite,ヨンチョンキャンプ場,Yeoncheon Campsite,연천캠핑장,地図データに明記,京畿道,Gyeonggi-do,ヨンチョン郡,Yeoncheon-gun,경기 연천군 미산면 숭의전로222번길 133,010-3365-0121,,https://www.camfit.co.kr/camp/63326c4f1c6d4b001e224255,38.018722,126.955108,4.4,3,"https://www.google.com/maps/search/?api=1&query=38.018722,126.955108","야영,캠핑장"
126,ペンション,Pension,ッカサド215,Kkasadeu 215,까사드215,地図データに明記,京畿道,Gyeonggi-do,イチョン市,Icheon-si,경기 이천시 호법면 관진로 32,0502-5552-6376,https://www.instagram.com/casa_de_215,,37.212604,127.395749,5.0,73,"https://www.google.com/maps/search/?api=1&query=37.212604,127.395749",펜션
127,ペンション,Pension,シビルォロイル,Sibirworoil,십일월오일,地図データに明記,京畿道,Gyeonggi-do,イチョン市,Icheon-si,경기 이천시 모가면 군들로82번길 39,,,,37.170892,127.495116,,30,"https://www.google.com/maps/search/?api=1&query=37.170892,127.495116",펜션
128,ペンション,Pension,オブルラヂプールヴィラ,Obeulladi Pool Villa,오블라디풀빌라,地図データに明記,京畿道,Gyeonggi-do,パジュ市,Paju-si,경기 파주시 문산읍 문현말길 113-2,031-954-1836,,http://obladi.hana-pnc.co.kr/,37.846941,126.770802,,49,"https://www.google.com/maps/search/?api=1&query=37.846941,126.770802",펜션
129,ホテル,Hotel,パークピュテラスホテル,Park Byu Terrace Hotel,파크뷰테라스호텔,地図データに明記,京畿道,Gyeonggi-do,パジュ市,Paju-si,경기 파주시 소리천로 39,031-947-7177,,https://pvterrace.co.kr,37.716383,126.762045,3.7,135,"https://www.google.com/maps/search/?api=1&query=37.716383,126.762045",호텔
130,ペンション,Pension,サヌルト愛犬同伴ペンション,Sanulteo Dog Friendly Pension,산울터애견동반펜션,店名から判断,京畿道,Gyeonggi-do,ポチョン市,Pocheon-si,경기 포천시 이동면 늠바위길 148-169,010-5227-1803,,http://산울터애견펜션.com/,38.025692,127.388161,3.9,1,"https://www.google.com/maps/search/?api=1&query=38.025692,127.388161",펜션
131,ペンション,Pension,セビョクジョン 愛犬ペンション,Saebyeokjong Dog Pension,새벽종 애견펜션,地図データに明記,京畿道,Gyeonggi-do,ポチョン市,Pocheon-si,경기 포천시 화현면 화동로348번길 38-120,010-9353-4155,,http://www.finebell.com,37.89323,127.307269,3.7,7,"https://www.google.com/maps/search/?api=1&query=37.89323,127.307269",펜션
132,ペンション,Pension,ッスダムッスダム愛犬ペンション,Sseudamsseudam Dog Pension,쓰담쓰담애견펜션,店名から判断,京畿道,Gyeonggi-do,ポチョン市,Pocheon-si,경기 포천시 일동면 사기막길 67-4,010-3723-3512,,https://www.쓰담쓰담펜션.com,37.965112,127.338296,4.3,74,"https://www.google.com/maps/search/?api=1&query=37.965112,127.338296",펜션
133,ペンション,Pension,オソオシゲニャン,Eoseoosigaenyang,어서오시개냥,地図データに明記,京畿道,Gyeonggi-do,ポチョン市,Pocheon-si,경기 포천시 이동면 화동로 2236-19,1833-9306,,https://welcomedogandcat.co.kr,38.044258,127.374972,3.7,113,"https://www.google.com/maps/search/?api=1&query=38.044258,127.374972",펜션
134,ペンション,Pension,ポチョン ハヌルグァバラムィホスペンション愛犬同伴,Pocheon Haneulgwabaramuihosu Pension Dog Friendly,포천 하늘과바람의호수펜션애견동반,店名から判断,京畿道,Gyeonggi-do,ポチョン市,Pocheon-si,경기 포천시 일동면 운악청계로1480번길 43,010-3771-1480,,http://www.lakevill.co.kr,37.939934,127.340633,4.4,12,"https://www.google.com/maps/search/?api=1&query=37.939934,127.340633",펜션
135,ペンション,Pension,ポチョルロクスジェイ愛犬ペンション,Pocheolleokseujei Dog Pension,포천럭스제이애견펜션,店名から判断,京畿道,Gyeonggi-do,ポチョン市,Pocheon-si,경기 포천시 영북면 여우고개로 53,1833-9306,,https://luxjay.co.kr/,38.059633,127.330664,5.0,26,"https://www.google.com/maps/search/?api=1&query=38.059633,127.330664",펜션
136,ペンション,Pension,ポポペンション,Popo Pension,포포펜션,地図データに明記,京畿道,Gyeonggi-do,ポチョン市,Pocheon-si,경기 포천시 화현면 봉화로 315-69,,,http://popopension.com/,37.874858,127.275349,5.0,24,"https://www.google.com/maps/search/?api=1&query=37.874858,127.275349",펜션
137,ペンション,Pension,プレンジュキジュプールヴィラ,Peurenjeukijeu Pool Villa,프렌즈키즈풀빌라,地図データに明記,京畿道,Gyeonggi-do,ポチョン市,Pocheon-si,경기 포천시 영북면 산정호수로 999,070-4468-1612,,http://friendkids.kr/,38.092421,127.318685,3.4,20,"https://www.google.com/maps/search/?api=1&query=38.092421,127.318685",펜션
138,ペンション,Pension,ピプル愛犬一棟貸しペンション,Pipeul Dog Whole House Pension,피플애견독채펜션,地図データに明記,京畿道,Gyeonggi-do,ポチョン市,Pocheon-si,경기 포천시 영북면 산정호수로 999,031-581-1185,,http://friendkids.kr,38.092354,127.318771,4.5,23,"https://www.google.com/maps/search/?api=1&query=38.092354,127.318771",펜션
139,ペンション,Pension,チェブポレスト,Jebuporeseuteu,제부포레스트,地図データに明記,京畿道,Gyeonggi-do,ファソン市マンセ区,Hwaseong-si Manse-gu,경기 화성시 만세구 서신면 해안길442번길 25,010-3909-7748,,http://www.jebuforest.com/,37.173904,126.625315,,93,"https://www.google.com/maps/search/?api=1&query=37.173904,126.625315",펜션
140,ペンション,Pension,カジョドプルハウスペンション,Gajodopul House Pension,가조도풀하우스펜션,地図データに明記,慶尚南道,Gyeongsangnam-do,コジェ市,Geoje-si,경남 거제시 사등면 가조로 1292-37,010-4456-1014,,http://www.gajofullhouse.kr,34.959629,128.524095,3.5,17,"https://www.google.com/maps/search/?api=1&query=34.959629,128.524095",펜션
141,ペンション,Pension,コジェヘドヂガジャ愛犬ペンション,Geojehaedodigaja Dog Pension,거제해돋이가자애견펜션,店名から判断,慶尚南道,Gyeongsangnam-do,コジェ市,Geoje-si,경남 거제시 장목면 신촌길 13-9,010-7715-6117,,http://soos5150.com,34.998648,128.692341,3.7,18,"https://www.google.com/maps/search/?api=1&query=34.998648,128.692341",펜션
142,ペンション,Pension,グリーンヒュペンション,Green Hyu Pension,그린휴펜션,地図データに明記,慶尚南道,Gyeongsangnam-do,コジェ市,Geoje-si,경남 거제시 일운면 망치3길 3,010-9778-8009,,http://greenhue.net,34.812896,128.667541,4.9,12,"https://www.google.com/maps/search/?api=1&query=34.812896,128.667541",펜션
143,ペンション,Pension,テングルル,Daenggureureu,댕구르르,地図データに明記,慶尚南道,Gyeongsangnam-do,コジェ市,Geoje-si,경남 거제시 둔덕면 거림1길 29,010-4385-2567,http://www.instagram.com/daeng_grrr,,34.853516,128.510499,,10,"https://www.google.com/maps/search/?api=1&query=34.853516,128.510499",펜션
144,ペンション,Pension,トクドク愛犬プールヴィラペンション,Dokdok Dog Pool Villa Pension,독독애견풀빌라펜션,店名から判断,慶尚南道,Gyeongsangnam-do,コジェ市,Geoje-si,경남 거제시 사등면 가조로 640-31,010-8925-9700,,http://www.3dogdog.com,34.962556,128.51869,4.0,18,"https://www.google.com/maps/search/?api=1&query=34.962556,128.51869",펜션
145,ペンション,Pension,ブルーペリペンション,Blue Beri Pension,블루베리펜션,地図データに明記,慶尚南道,Gyeongsangnam-do,コジェ市,Geoje-si,경남 거제시 동부면 학동6길 56,1833-9306,,https://blueberryps.kr,34.7714,128.638412,5.0,3,"https://www.google.com/maps/search/?api=1&query=34.7714,128.638412",펜션
146,ペンション,Pension,ブルーケスル愛犬ペンション,Blue Kaeseul Dog Pension,블루캐슬애견펜션,地図データに明記,慶尚南道,Gyeongsangnam-do,コジェ市,Geoje-si,경남 거제시 일운면 거제대로 1477,010-5602-2918,,http://블루케슬애견펜션.com/,34.79095,128.665204,4.8,89,"https://www.google.com/maps/search/?api=1&query=34.79095,128.665204",펜션
147,ペンション,Pension,ピチブルー愛犬ペンション,Bichi Blue Dog Pension,비치블루애견펜션,店名から判断,慶尚南道,Gyeongsangnam-do,コジェ市,Geoje-si,경남 거제시 장목면 옥포대첩로 1354,010-2352-5870,,https://www.geojebeachblue.com/,34.971431,128.697467,5.0,162,"https://www.google.com/maps/search/?api=1&query=34.971431,128.697467",펜션
148,ペンション,Pension,ピチホワイト愛犬ペンション,Bichi White Dog Paensyeon,비치화이트애견팬션,店名から判断,慶尚南道,Gyeongsangnam-do,コジェ市,Geoje-si,경남 거제시 장목면 옥포대첩로 1356,1833-9306,,https://beachwhite.kr/,34.971559,128.697351,5.0,0,"https://www.google.com/maps/search/?api=1&query=34.971559,128.697351",펜션
149,ペンション,Pension,サンタモニカペンション,Santamonika Pension,산타모니카펜션,地図データに明記,慶尚南道,Gyeongsangnam-do,コジェ市,Geoje-si,경남 거제시 거제면 거제남서로 3955,010-6888-6646,,http://santamonica.co.kr,34.834999,128.557678,,7,"https://www.google.com/maps/search/?api=1&query=34.834999,128.557678",펜션
150,ペンション,Pension,エルピラペンション,Elpira Pension,엘피라펜션,地図データに明記,慶尚南道,Gyeongsangnam-do,コジェ市,Geoje-si,경남 거제시 남부면 거제남서로 370,010-2861-0048,http://www.instagram.com/elpirapension,,34.715425,128.621876,5.0,9,"https://www.google.com/maps/search/?api=1&query=34.715425,128.621876",펜션
151,ペンション,Pension,ヨウル愛犬ペンション,Yeoul Dog Pension,여울애견펜션,店名から判断,慶尚南道,Gyeongsangnam-do,コジェ市,Geoje-si,경남 거제시 남부면 거제남서로 324-2,010-9121-3923,,https://gjyeoul.co.kr,34.716016,128.626152,5.0,162,"https://www.google.com/maps/search/?api=1&query=34.716016,128.626152",펜션
152,ペンション,Pension,オションステイ,Osyeon Stay,오션스테이,地図データに明記,慶尚南道,Gyeongsangnam-do,コジェ市,Geoje-si,경남 거제시 거제면 거제남서로 3687-37,010-8986-8838,,http://oceanstay21.iwinv.net/,34.854738,128.574681,4.9,292,"https://www.google.com/maps/search/?api=1&query=34.854738,128.574681",펜션
153,ペンション,Pension,オションテラ,Osyeontera,오션테라,地図データに明記,慶尚南道,Gyeongsangnam-do,コジェ市,Geoje-si,경남 거제시 장목면 율천두모로 139-17,055-636-5400,,,34.976294,128.69395,4.2,72,"https://www.google.com/maps/search/?api=1&query=34.976294,128.69395",펜션
154,ペンション,Pension,ウェドベルリ愛犬ペンション,Oedobelli Dog Pension,외도벨리애견펜션,店名から判断,慶尚南道,Gyeongsangnam-do,コジェ市,Geoje-si,경남 거제시 일운면 망양2길 19-6,010-5759-7779,,https://blog.naver.com/woogie0404,34.814147,128.67583,,62,"https://www.google.com/maps/search/?api=1&query=34.814147,128.67583",펜션
155,ペンション,Pension,イリオン愛犬ペンション,Irion Dog Pension,이리온애견펜션,店名から判断,慶尚南道,Gyeongsangnam-do,コジェ市,Geoje-si,경남 거제시 장목면 거제북로 2738-8,010-7363-2250,,http://erionpension.com,34.997445,128.692141,,4,"https://www.google.com/maps/search/?api=1&query=34.997445,128.692141",펜션
156,ペンション,Pension,ハモニピルペンション,Hamonipil Pension,하모니필펜션,地図データに明記,慶尚南道,Gyeongsangnam-do,コジェ市,Geoje-si,경남 거제시 문동4길 83-12,055-637-8803,,http://dotharmonyfill.dothome.co.kr,34.861134,128.658487,5.0,46,"https://www.google.com/maps/search/?api=1&query=34.861134,128.658487",펜션
157,ペンション,Pension,ヒュイレンペンション&ケムピン,Hyuiren Pension & Kaemping,휴일엔펜션&캠핑,地図データに明記,慶尚南道,Gyeongsangnam-do,コチャン郡,Geochang-gun,경남 거창군 북상면 병곡길 187,010-9399-4897,,http://holidayn.co.kr,35.791831,127.788969,5.0,20,"https://www.google.com/maps/search/?api=1&query=35.791831,127.788969",펜션
158,ペンション,Pension,ソプン愛犬カフェ&ペンション,Sopung Dog Cafe & Pension,소풍애견카페&펜션,店名から判断,慶尚南道,Gyeongsangnam-do,コソン郡,Goseong-gun,경남 고성군 삼산면 공룡로 1661-1,010-3866-6439,,https://blog.naver.com/bb6435,34.956087,128.242303,1.0,0,"https://www.google.com/maps/search/?api=1&query=34.956087,128.242303",펜션
159,ペンション,Pension,ナムヘ リュエルリ 愛犬同伴ペンション,Namhae Ryuaelli Dog Friendly Pension,남해 류앤리 애견동반펜션,店名から判断,慶尚南道,Gyeongsangnam-do,ナムヘ郡,Namhae-gun,경남 남해군 창선면 동부대로 2689-3,1833-9306,,https://ryuandlee.kr/,34.895467,128.014196,5.0,47,"https://www.google.com/maps/search/?api=1&query=34.895467,128.014196",펜션
160,ペンション,Pension,ナムヘデンデンイ愛犬ペンションブルー,Namhaedaengdaengi Dog Pension Blue,남해댕댕이애견펜션블루,店名から判断,慶尚南道,Gyeongsangnam-do,ナムヘ郡,Namhae-gun,경남 남해군 미조면 동부대로14번길 25-55,1833-9306,,http://byeol-damda.kr/,34.730242,128.033514,4.0,44,"https://www.google.com/maps/search/?api=1&query=34.730242,128.033514",펜션
161,ペンション,Pension,チプールヴィラ 愛犬ペンション,Di Pool Villa Dog Pension,디풀빌라 애견펜션,地図データに明記,慶尚南道,Gyeongsangnam-do,ナムヘ郡,Namhae-gun,경남 남해군 미조면 미조로 164,010-2451-8001,,http://www.dpool.co.kr,34.707725,128.050578,5.0,136,"https://www.google.com/maps/search/?api=1&query=34.707725,128.050578",펜션
162,ペンション,Pension,リムッシサイドプールヴィラペンション,Rimssi Side Pool Villa Pension,림씨사이드풀빌라펜션,地図データに明記,慶尚南道,Gyeongsangnam-do,ナムヘ郡,Namhae-gun,경남 남해군 삼동면 양화금로 329-33,0503-7152-6508,,http://www.림씨사이드풀빌라.com,34.81448,128.062292,5.0,33,"https://www.google.com/maps/search/?api=1&query=34.81448,128.062292",펜션
163,ペンション,Pension,モンマルットオンドク愛犬ペンション,Meongmareutteueondeok Dog Pension,멍마르뜨언덕애견펜션,店名から判断,慶尚南道,Gyeongsangnam-do,ナムヘ郡,Namhae-gun,경남 남해군 서면 남서대로 2092-39,,,,34.840157,127.823973,,71,"https://www.google.com/maps/search/?api=1&query=34.840157,127.823973",펜션
164,ペンション,Pension,オヌ ノウルビッ,Eoneu Noeulbit,어느 노을빛,地図データに明記,慶尚南道,Gyeongsangnam-do,ナムヘ郡,Namhae-gun,경남 남해군 서면 남서대로 1965-42,010-8530-9788,,http://namhaesunset.shop,34.82976,127.818154,3.0,17,"https://www.google.com/maps/search/?api=1&query=34.82976,127.818154",펜션
165,ペンション,Pension,ヨハネスペンション,Yohaneseu Pension,요하네스펜션,地図データに明記,慶尚南道,Gyeongsangnam-do,ナムヘ郡,Namhae-gun,경남 남해군 삼동면 독일로 61-27,010-9213-8668,,,34.798498,128.039684,4.0,2,"https://www.google.com/maps/search/?api=1&query=34.798498,128.039684",펜션
166,ペンション,Pension,チョンジョンビョルォン ヘビチェペンション,Cheongjeongbyeorwon Haebichae Pension,청정별원 해비채펜션,地図データに明記,慶尚南道,Gyeongsangnam-do,ナムヘ郡,Namhae-gun,경남 남해군 상주면 남해대로495번길 77,010-8220-5533,,http://pf.kakao.com/_axexcxkb,34.718043,128.008263,,1,"https://www.google.com/maps/search/?api=1&query=34.718043,128.008263",펜션
167,ペンション,Pension,パレサ愛犬プールヴィラ,Paresa Dog Pool Villa,파레사애견풀빌라,店名から判断,慶尚南道,Gyeongsangnam-do,ナムヘ郡,Namhae-gun,경남 남해군 창선면 동부대로 1974-37,010-8580-4960,,http://www.paresa.kr/,34.837632,128.008453,4.2,39,"https://www.google.com/maps/search/?api=1&query=34.837632,128.008453",펜션
168,ペンション,Pension,ハルイン愛犬ペンション,Haruin Dog Pension,하루인애견펜션,店名から判断,慶尚南道,Gyeongsangnam-do,ナムヘ郡,Namhae-gun,경남 남해군 미조면 동부대로 581,,,,34.760112,128.052191,4.7,8,"https://www.google.com/maps/search/?api=1&query=34.760112,128.052191",펜션
169,ペンション,Pension,サムソリ,Samseori,삼서리,地図データに明記,慶尚南道,Gyeongsangnam-do,ミリャン市,Miryang-si,경남 밀양시 상남면 내금길 80-12,010-7115-7387,,https://blog.naver.com/samseori,35.432757,128.7577,,23,"https://www.google.com/maps/search/?api=1&query=35.432757,128.7577",펜션
170,ペンション,Pension,ステイハンガロイ,Stay Hangaroi,스테이한가로이,地図データに明記,慶尚南道,Gyeongsangnam-do,ミリャン市,Miryang-si,경남 밀양시 산내면 산내용전3길 23-1,010-9479-4054,,https://blog.naver.com/favorite_yoon,35.556451,128.858326,5.0,25,"https://www.google.com/maps/search/?api=1&query=35.556451,128.858326",펜션
171,ペンション,Pension,タムスロプゲ,Tamseureopgae,탐스럽개,地図データに明記,慶尚南道,Gyeongsangnam-do,ミリャン市,Miryang-si,경남 밀양시 단장면 단장로 866,010-3373-1444,,https://탐스럽개.com,35.471508,128.860011,5.0,26,"https://www.google.com/maps/search/?api=1&query=35.471508,128.860011",펜션
172,ペンション,Pension,ペンションピネタ,Pension Pineta,펜션피네타,地図データに明記,慶尚南道,Gyeongsangnam-do,ミリャン市,Miryang-si,경남 밀양시 삼랑진읍 행곡3길 55-36,0507-1354-8663,https://instagram.com/pansion_pineta,,35.43016,128.908207,5.0,11,"https://www.google.com/maps/search/?api=1&query=35.43016,128.908207",펜션
173,ペンション,Pension,トグプリドム,Dogeupeurideom,도그프리덤,店名から判断,慶尚南道,Gyeongsangnam-do,サチョン市,Sacheon-si,경남 사천시 서포면 질구지길 37,,,,35.021965,127.997759,,12,"https://www.google.com/maps/search/?api=1&query=35.021965,127.997759",펜션
174,ペンション,Pension,メリワル,Meriwal,메리왈,地図データに明記,慶尚南道,Gyeongsangnam-do,サチョン市,Sacheon-si,경남 사천시 서포면 제비길 74,010-2577-9750,,https://naver.me/5zvhICkp,34.978839,127.946983,4.2,25,"https://www.google.com/maps/search/?api=1&query=34.978839,127.946983",펜션
175,ペンション,Pension,パドゥギ ペット ペンション,Badugi Pet Pension,바두기 펫 펜션,店名から判断,慶尚南道,Gyeongsangnam-do,サチョン市,Sacheon-si,경남 사천시 서포면 제비길 72,010-9687-9119,https://www.instagram.com/badugipet,,34.978923,127.946682,4.5,39,"https://www.google.com/maps/search/?api=1&query=34.978923,127.946682",펜션
176,モーテル,Motel,プラウンドトホテル サムチョンポハンジョム,Beuraundoteu Hotel Samcheonpohangjeom,브라운도트호텔 삼천포항점,地図データに明記,慶尚南道,Gyeongsangnam-do,サチョン市,Sacheon-si,경남 사천시 수남길 33,0507-1377-8988,,http://browndot-samcheonpo.jalib.site/,34.928366,128.072278,4.3,30,"https://www.google.com/maps/search/?api=1&query=34.928366,128.072278","여관,모텔"
177,宿泊施設,Accommodation,ピトノウルスプグランピング,Bitonoeulsup Glamping,비토노을숲글램핑,地図データに明記,慶尚南道,Gyeongsangnam-do,サチョン市,Sacheon-si,경남 사천시 서포면 거북길 254,1555-6254,https://www.instagram.com/sunset.glamping,,34.972267,127.964141,3.9,302,"https://www.google.com/maps/search/?api=1&query=34.972267,127.964141",글램핑장
178,ペンション,Pension,シュシュ愛犬ペンション,Syusyu Dog Pension,슈슈애견펜션,店名から判断,慶尚南道,Gyeongsangnam-do,サチョン市,Sacheon-si,경남 사천시 서포면 다평로 12-10,,,http://www.chouchou.kr,34.980721,127.942644,5.0,19,"https://www.google.com/maps/search/?api=1&query=34.980721,127.942644",펜션
179,ペンション,Pension,サンチョンバイブ,Sancheongbaibeu,산청바이브,地図データに明記,慶尚南道,Gyeongsangnam-do,サンチョン郡,Sancheong-gun,경남 산청군 신안면 중촌갈전로711번길 32-5,010-4682-6136,,,35.361929,127.98635,5.0,31,"https://www.google.com/maps/search/?api=1&query=35.361929,127.98635",펜션
180,ペンション,Pension,ステイ トラン,Stay Dorang,스테이 도랑,地図データに明記,慶尚南道,Gyeongsangnam-do,ヤンサン市,Yangsan-si,경남 양산시 동면 창기2길 17-12,0507-1403-2052,https://instagram.com/dorang_stay,,35.336554,129.1214,,39,"https://www.google.com/maps/search/?api=1&query=35.336554,129.1214",펜션
181,ペンション,Pension,ヨンフィジェ 愛犬プールヴィラ ネウォンサジョム,Yeonhuijae Dog Pool Villa Naewonsajeom,연희재 애견풀빌라 내원사점,店名から判断,慶尚南道,Gyeongsangnam-do,ヤンサン市,Yangsan-si,경남 양산시 하북면 삼리길 106-10,010-7544-7408,,https://site.onda.me/137964,35.446734,129.084041,2.3,21,"https://www.google.com/maps/search/?api=1&query=35.446734,129.084041",펜션
182,民宿,Minbak,トク一棟貸し,Dok Whole House,독독채,地図データに明記,慶尚南道,Gyeongsangnam-do,チャンニョン郡,Changnyeong-gun,경남 창녕군 부곡면 청암1길 42-13,010-4761-7648,,,35.408067,128.615774,,26,"https://www.google.com/maps/search/?api=1&query=35.408067,128.615774",민박
183,ペンション,Pension,サラン愛犬ペンション,Sarang Dog Pension,사랑애견펜션,地図データに明記,慶尚南道,Gyeongsangnam-do,チャンニョン郡,Changnyeong-gun,경남 창녕군 영산면 적지길 102-29,010-4098-2185,,,35.468961,128.553138,5.0,2,"https://www.google.com/maps/search/?api=1&query=35.468961,128.553138",펜션
184,ホテル,Hotel,アモルホテル,Amoreu Hotel,아모르호텔,地図データに明記,慶尚南道,Gyeongsangnam-do,チャンウォン市マサンハプポ区,Changwon-si Masanhappo-gu,경남 창원시 마산합포구 수산1길 3,055-245-1960,,http://www.hotelamor.co.kr,35.1983,128.572703,4.7,19,"https://www.google.com/maps/search/?api=1&query=35.1983,128.572703",호텔
185,ペンション,Pension,クルレムドク愛犬ペンション トンヨンジョム,Geullaemdok Dog Pension Tongyeongjeom,글램독애견펜션 통영점,地図データに明記,慶尚南道,Gyeongsangnam-do,トンヨン市,Tongyeong-si,경남 통영시 광도면 용호로 285-16,010-3516-2597,,https://glamdog.kr/,34.872677,128.391398,4.0,60,"https://www.google.com/maps/search/?api=1&query=34.872677,128.391398",펜션
186,ペンション,Pension,ララ愛犬ペンション,Rara Dog Pension,라라애견펜션,店名から判断,慶尚南道,Gyeongsangnam-do,トンヨン市,Tongyeong-si,경남 통영시 산양읍 척포길 115-27,,,,34.768987,128.420284,5.0,122,"https://www.google.com/maps/search/?api=1&query=34.768987,128.420284",펜션
187,ペンション,Pension,クルレド モン,Keulledeu Mong,클레드 몽,地図データに明記,慶尚南道,Gyeongsangnam-do,トンヨン市,Tongyeong-si,경남 통영시 산양읍 물개길 37-33,010-6374-1435,,https://m.blog.naver.com/lifetrac,34.770037,128.421258,,33,"https://www.google.com/maps/search/?api=1&query=34.770037,128.421258",펜션
188,ペンション,Pension,トンヨングガネペンション,Tongyeonggugane Pension,통영구가네펜션,地図データに明記,慶尚南道,Gyeongsangnam-do,トンヨン市,Tongyeong-si,경남 통영시 광도면 덕포로 237,010-5234-4871,,https://blog.naver.com/gugane2018,34.906236,128.418187,5.0,290,"https://www.google.com/maps/search/?api=1&query=34.906236,128.418187",펜션
189,ペンション,Pension,ハハホホプレンド 愛犬同伴ペンション,Hahahohopeurendeu Dog Friendly Pension,하하호호프렌드 애견동반펜션,地図データに明記,慶尚南道,Gyeongsangnam-do,トンヨン市,Tongyeong-si,경남 통영시 산양읍 풍화일주로 1401-25,010-3006-9270,,,34.827389,128.374947,4.8,39,"https://www.google.com/maps/search/?api=1&query=34.827389,128.374947",펜션
190,ペンション,Pension,ハドン チリサン サンセソリ ペンション,Hadong Jirisan Sansaesori Pension,하동 지리산 산새소리 펜션,地図データに明記,慶尚南道,Gyeongsangnam-do,ハドン郡,Hadong-gun,경남 하동군 화개면 신촌도심길 61,010-8850-2077,,https://sansaesorips.com,35.218132,127.648306,4.9,9,"https://www.google.com/maps/search/?api=1&query=35.218132,127.648306",펜션
191,ペンション,Pension,サシジャンチョン,Sasijangcheong,사시장청,地図データに明記,慶尚南道,Gyeongsangnam-do,ハプチョン郡,Hapcheon-gun,경남 합천군 대양면 안금길 427-4,010-4563-0524,https://instagram.com/seasontree_103,,35.484968,128.199381,4.0,27,"https://www.google.com/maps/search/?api=1&query=35.484968,128.199381",펜션
192,ペンション,Pension,JS愛犬プールヴィラ,JS Dog Pool Villa,JS애견풀빌라,地図データに明記,慶尚北道,Gyeongsangbuk-do,キョンジュ市,Gyeongju-si,경북 경주시 천북면 목실길 10-38,02-899-7475,,http://jsresort.kr/,35.875252,129.273282,3.5,149,"https://www.google.com/maps/search/?api=1&query=35.875252,129.273282",펜션
193,ペンション,Pension,カンアジットル,Gangajitteul,강아지뜰,地図データに明記,慶尚北道,Gyeongsangbuk-do,キョンジュ市,Gyeongju-si,경북 경주시 외동읍 신계길 109,010-6367-2121,,http://kangajipul.co.kr/,35.769652,129.321018,,70,"https://www.google.com/maps/search/?api=1&query=35.769652,129.321018",펜션
194,ペンション,Pension,ケインゴンガン,Gaeingonggan,개인공간,地図データに明記,慶尚北道,Gyeongsangbuk-do,キョンジュ市,Gyeongju-si,경북 경주시 천북면 산업로 4694-23,010-3034-0295,https://instagram.com/gaeingongan_pension,,35.893874,129.240687,5.0,84,"https://www.google.com/maps/search/?api=1&query=35.893874,129.240687",펜션
195,ペンション,Pension,キョンジュ アウンダウン愛犬一棟貸しペンション,Gyeongju Aungdaung Dog Whole House Pension,경주 아웅다웅애견독채펜션,店名から判断,慶尚北道,Gyeongsangbuk-do,キョンジュ市,Gyeongju-si,경북 경주시 외동읍 앞등길 14-6,1660-0828,,,35.761913,129.325299,,3,"https://www.google.com/maps/search/?api=1&query=35.761913,129.325299",펜션
