No,種別/Kind,店名(日本語読み),Name (English),店名(ハングル),ジャンル(日),Cuisine (EN),料理(日),Dishes (EN),犬の同伴,テラス席/Terrace,最寄り駅(日),Nearest station (EN),駅まで(m),広域自治体(日),Region (EN),市郡区(日),City/District (EN),エリア(日),Area (EN),住所(ハングル),電話,Instagram,公式サイト,緯度,経度,位置精度,評価,口コミ数,業態,Googleマップ,NAVERマップ,DiningCode,カテゴリ原文(韓)
140,ごはん/Meal,パメンソン カフェ カサン,Bamaensong Cafe Gasan,밤앤송 카페 가산,サンドイッチ・サラダ,Sandwich & Salad,デザート・クロワッサンサンド,"Dessert, Croissant Sandwich",店内OK / Indoors OK,なし/No,カサンヂジトルダンジ（加山団地）,Gasan Digital Complex,1110,ソウル特別市,Seoul,衿川区,Geumcheon-gu,カサンドン,Gasan-dong,서울특별시 금천구 시흥대로153길 72 1층 밤앤송 카페,010-5795-3955,https://www.instagram.com/bam.n.song_cafe,,37.476729,126.894514,店舗単位,,0,軽飲食店,"https://www.google.com/maps/search/?api=1&query=37.476729,126.894514",https://map.naver.com/p/search/밤앤송%20카페%20가산%20서울특별시%20금천구%20시흥대로153길%2072%201층%20밤앤송%20카페,https://www.diningcode.com/profile.php?rid=5xBEiXJuiqhV,"디저트, 크루아상샌드위치"
141,ごはん/Meal,中華料理 パルゴン,Junghwayori Palgong,중화요리 팔공,中華,Chinese,ジャージャー麺・中華,Jjajangmyeon,店内OK / Indoors OK,なし/No,ポンチョン（奉天）,Bongcheon,460,ソウル特別市,Seoul,衿川区,Geumcheon-gu,禿山洞（トクサンドン）,Doksan-dong,서울특별시 관악구 남부순환로 1680,02-877-9815,,,37.484129,126.937169,店舗単位,4.6,35,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.484129,126.937169",https://map.naver.com/p/search/중화요리%20팔공%20서울특별시%20관악구%20남부순환로%201680,https://www.diningcode.com/profile.php?rid=SlU4iocpXug7,짜장면
142,カフェ/Cafe,チプス トクサンドン,Chipseu Doksandong,칩스 독산동,カフェ,Cafe,カフェ・フォカッチャ,"Cafe, Focaccia",店内OK / Indoors OK,なし/No,トクサン（禿山）,Doksan,560,ソウル特別市,Seoul,衿川区,Geumcheon-gu,トクサンドン,Doksan-dong,서울특별시 금천구 두산로9길 5 1층,010-6626-9972,https://www.instagram.com/chips.town,,37.470519,126.892573,店舗単位,5,3,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.470519,126.892573",https://map.naver.com/p/search/칩스%20독산동%20서울특별시%20금천구%20두산로9길%205%201층,https://www.diningcode.com/profile.php?rid=RuBO9VDF3IMB,"카페, 포카치아"
143,ごはん/Meal,トゥップル205 カサンヂジトルダンジヨク,Tuppul 205 Gasandijiteoldanjiyeok,투뿔205 가산디지털단지역,焼肉,Korean BBQ,焼肉・韓牛,"Korean BBQ, Korean Beef",店内OK / Indoors OK,なし/No,カサンヂジトルダンジ（加山団地）,Gasan Digital Complex,220,ソウル特別市,Seoul,衿川区,Geumcheon-gu,カサンドン,Gasan-dong,"서울특별시 금천구 디지털로9길 99 스타밸리 1층 115, 117, 118호",,,,37.481562,126.885067,店舗単位,5,2,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.481562,126.885067","https://map.naver.com/p/search/투뿔205%20가산디지털단지역%20서울특별시%20금천구%20디지털로9길%2099%20스타밸리%201층%20115,%20117,%20118호",https://www.diningcode.com/profile.php?rid=xAUahkDL7jUJ,"고깃집, 한우"
144,カフェ/Cafe,プルトア トクサンドン,pour toi,푸르토아 독산동,スイーツ,Sweets,デザート・カフェ,"Dessert, Cafe",店内OK / Indoors OK,なし/No,,,,ソウル特別市,Seoul,衿川区,Geumcheon-gu,トクサンドン,Doksan-dong,서울특별시 금천구 독산로54길 41 1층,070-7777-0636,https://www.instagram.com/pourtoi_seoul,,37.464434,126.906992,店舗単位,5,1,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.464434,126.906992",https://map.naver.com/p/search/푸르토아%20독산동%20서울특별시%20금천구%20독산로54길%2041%201층,https://www.diningcode.com/profile.php?rid=4HJleXu4bv4p,"디저트, 카페"
145,カフェ/Cafe,ハーフコーヒーエクスプレス ポブルリクガサンジョム,Half Coffee Express Peobeullikgasanjeom,하프커피익스프레스 퍼블릭가산점,コーヒー専門,Specialty Coffee,コーヒー・クリームラテ,"Coffee, Cream Latte",店内OK / Indoors OK,なし/No,カサンヂジトルダンジ（加山団地）,Gasan Digital Complex,570,ソウル特別市,Seoul,衿川区,Geumcheon-gu,カサンドン,Gasan-dong,서울특별시 금천구 디지털로 178 M-B116호,0507-1418-7190,,https://하프커피.com,37.476629,126.887129,店舗単位,5,2,軽飲食店,"https://www.google.com/maps/search/?api=1&query=37.476629,126.887129",https://map.naver.com/p/search/하프커피익스프레스%20퍼블릭가산점%20서울특별시%20금천구%20디지털로%20178%20M-B116호,https://www.diningcode.com/profile.php?rid=gyRFVwoogKsB,"커피, 크림라떼"
146,ごはん/Meal,タクハンマリ コンヌンボンジョム,Dakhanmari Gongneungbonjeom,닭한마리 공릉본점,麺料理,Noodles,タッカンマリ・カルグクス,"Chicken Hotpot, Knife-cut Noodles",店内OK / Indoors OK,なし/No,テルンイプグ（泰陵入口）,Taereung,400,ソウル特別市,Seoul,蘆原区,Nowon-gu,コンヌンドン,Gongneung-dong,서울특별시 노원구 동일로 1020,02-972-7459,,,37.621252,127.074707,店舗単位,4.3,63,軽飲食店,"https://www.google.com/maps/search/?api=1&query=37.621252,127.074707",https://map.naver.com/p/search/닭한마리%20공릉본점%20서울특별시%20노원구%20동일로%201020,https://www.diningcode.com/profile.php?rid=JrQX2fyHnJkl,"닭한마리, 칼국수"
147,ごはん/Meal,マンゴジョン,Manggojeong,망고정,レストラン,Restaurant,,,店内OK / Indoors OK,なし/No,ウォルギェ（月渓）,Wolgye,120,ソウル特別市,Seoul,蘆原区,Nowon-gu,ウォルギェドン,Wolgye-dong,서울특별시 노원구 월계로55길 64,,,,37.634039,127.059544,建物単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.634039,127.059544",https://map.naver.com/p/search/망고정%20서울특별시%20노원구%20월계로55길%2064,,
148,カフェ/Cafe,ムイロコーヒー コンヌン,MUIRO,무이로커피 공릉,スイーツ,Sweets,カフェ・パブロバ,"Cafe, Pavlova",店内OK / Indoors OK,なし/No,コンルン（孔陵）,Gongneung,350,ソウル特別市,Seoul,蘆原区,Nowon-gu,コンヌンドン,Gongneung-dong,서울특별시 노원구 동일로186길 77-7 1층,070-7795-3333,https://instagram.com/muiro_coffee/,,37.625801,127.077066,店舗単位,4.6,6,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.625801,127.077066",https://map.naver.com/p/search/무이로커피%20공릉%20서울특별시%20노원구%20동일로186길%2077-7%201층,https://www.diningcode.com/profile.php?rid=8novFnl4aH4h,"카페, 파블로바"
149,ごはん/Meal,パクバ,Bakeuba,바크바,レストラン,Restaurant,,,店内OK / Indoors OK,なし/No,サンギェ（上渓）,Sanggye,750,ソウル特別市,Seoul,蘆原区,Nowon-gu,サンギェドン,Sanggye-dong,서울특별시 노원구 노원로26길 69,0502-5553-1688,https://www.instagram.com/cafe.barkbar?igsh=M21sZnYxNTk0eHlz&utm_source=qr,,37.654177,127.0717,通り単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.654177,127.0717",https://map.naver.com/p/search/바크바%20서울특별시%20노원구%20노원로26길%2069,,
150,ごはん/Meal,アワーベストシーズン マドリョク,our best season,아워베스트시즌 마들역,サンドイッチ・サラダ,Sandwich & Salad,ブランチ・ポケ,"Brunch, Poke Bowl",店内OK / Indoors OK,なし/No,マドル,Madeul,330,ソウル特別市,Seoul,蘆原区,Nowon-gu,サンギェドン,Sanggye-dong,서울특별시 노원구 노원로38길 76 포레나아파트 상가 302호,02-934-5577,http://instagram.com/ourbestseason,,37.664742,127.061436,店舗単位,4.6,8,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.664742,127.061436",https://map.naver.com/p/search/아워베스트시즌%20마들역%20서울특별시%20노원구%20노원로38길%2076%20포레나아파트%20상가%20302호,https://www.diningcode.com/profile.php?rid=8WZARGV5YiNC,"브런치, 포케"
151,カフェ/Cafe,ユガルハウス コンヌン,Yugaru House Gongneung,유가루하우스 공릉,スイーツ,Sweets,デザート・フィナンシェ,"Dessert, Financier",店内OK / Indoors OK,なし/No,コンルン（孔陵）,Gongneung,260,ソウル特別市,Seoul,蘆原区,Nowon-gu,コンヌンドン,Gongneung-dong,서울특별시 노원구 동일로190길 53-5 지층,010-2194-0147,https://instagram.com/yoogaru.house,,37.626462,127.07581,店舗単位,5,1,ベーカリー営業,"https://www.google.com/maps/search/?api=1&query=37.626462,127.07581",https://map.naver.com/p/search/유가루하우스%20공릉%20서울특별시%20노원구%20동일로190길%2053-5%20지층,https://www.diningcode.com/profile.php?rid=WShLQ6kAWGvp,"디저트, 휘낭시에"
152,ごはん/Meal,チョンチュンダクガンジョン コンヌン,Cheongchundakgangjeong Gongneung,청춘닭강정 공릉,チキン,Fried Chicken,タッカンジョン・焼き鳥,"Sweet Fried Chicken, Chicken Skewer",店内OK / Indoors OK,なし/No,テルンイプグ（泰陵入口）,Taereung,370,ソウル特別市,Seoul,蘆原区,Nowon-gu,コンヌンドン,Gongneung-dong,서울특별시 노원구 공릉로 114 1층,,,,37.620383,127.078142,店舗単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.620383,127.078142",https://map.naver.com/p/search/청춘닭강정%20공릉%20서울특별시%20노원구%20공릉로%20114%201층,https://www.diningcode.com/profile.php?rid=GGxNUyfiqSJF,"닭강정, 닭꼬치"
153,カフェ/Cafe,カフェ オブルー ウォルギェ,Cafe O Blue Wolgye,카페 오블루 월계,コーヒー専門,Specialty Coffee,カフェ・コーヒー,"Cafe, Coffee",店内OK / Indoors OK,なし/No,ウォルギェ（月渓）,Wolgye,90,ソウル特別市,Seoul,蘆原区,Nowon-gu,ウォルギェドン,Wolgye-dong,서울특별시 노원구 초안산로2길 110 1층 카페 오블루,02-6015-2205,https://instagram.com/o.bleu_coffee,,37.633405,127.057907,店舗単位,4,1,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.633405,127.057907",https://map.naver.com/p/search/카페%20오블루%20월계%20서울특별시%20노원구%20초안산로2길%20110%201층%20카페%20오블루,https://www.diningcode.com/profile.php?rid=vtvqIbjFcRsD,"카페, 커피"
154,カフェ/Cafe,コーヒースピリッ コンヌン,Coffee Seupirit Gongneung,커피스피릿 공릉,スイーツ,Sweets,デザート・マンゴー,"Dessert, Mango",店内OK / Indoors OK,なし/No,コンルン（孔陵）,Gongneung,560,ソウル特別市,Seoul,蘆原区,Nowon-gu,コンヌンドン,Gongneung-dong,서울특별시 노원구 공릉로37길 13 1층 커피스피릿,,https://www.instagram.com/coffeespirit_official,,37.623267,127.078603,店舗単位,4.3,4,軽飲食店,"https://www.google.com/maps/search/?api=1&query=37.623267,127.078603",https://map.naver.com/p/search/커피스피릿%20공릉%20서울특별시%20노원구%20공릉로37길%2013%201층%20커피스피릿,https://www.diningcode.com/profile.php?rid=2JvJLIDESAQg,"디저트, 망고"
155,カフェ/Cafe,ホイポルロイコーヒーロースターズ コンヌン,HOI POLLOI COFFEE ROASTERS,호이폴로이커피로스터스 공릉,コーヒー専門,Specialty Coffee,コーヒー・カフェ,"Coffee, Cafe",店内OK / Indoors OK,なし/No,コンルン（孔陵）,Gongneung,310,ソウル特別市,Seoul,蘆原区,Nowon-gu,コンヌンドン,Gongneung-dong,서울특별시 노원구 동일로186길 64 상가,010-2613-5782,https://www.instagram.com/hoipolloi.coffee/,,37.625294,127.076557,店舗単位,4.2,12,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.625294,127.076557",https://map.naver.com/p/search/호이폴로이커피로스터스%20공릉%20서울특별시%20노원구%20동일로186길%2064%20상가,https://www.diningcode.com/profile.php?rid=qMym4tKf9j6b,"커피, 카페"
156,ごはん/Meal,サムボスジェガルビ パンハクドン,Sambosujegalbi Banghakdong,삼보수제갈비 방학동,焼肉,Korean BBQ,豚カルビ・生豚カルビ,"Pork Ribs, Fresh Pork Ribs",店内OK / Indoors OK,なし/No,プクハンサヌイ（北漢山牛耳）,Bukhansan Ui,750,ソウル特別市,Seoul,道峰区,Dobong-gu,パンハクドン,Banghak-dong,서울특별시 도봉구 방학로 283 1.2층,,,,37.662628,127.020903,店舗単位,4,1,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.662628,127.020903",https://map.naver.com/p/search/삼보수제갈비%20방학동%20서울특별시%20도봉구%20방학로%20283%201.2층,https://www.diningcode.com/profile.php?rid=DauJr18fMsBc,"돼지갈비, 돼지생갈비"
157,ごはん/Meal,スプダム,Supdam,숲담,レストラン,Restaurant,,,店内OK / Indoors OK,なし/No,パンハク（放鶴）,Banghak,980,ソウル特別市,Seoul,道峰区,Dobong-gu,パンハクドン,Banghak-dong,서울특별시 도봉구 도당로6길 30-6,,,,37.661623,127.036285,通り単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.661623,127.036285",https://map.naver.com/p/search/숲담%20서울특별시%20도봉구%20도당로6길%2030-6,,
158,ごはん/Meal,オカフェ パンハクドン,O'Cafe,오카페 방학동,サンドイッチ・サラダ,Sandwich & Salad,ベーカリー・サンドイッチ,"Bakery, Sandwich",店内OK / Indoors OK,なし/No,パンハク（放鶴）,Banghak,620,ソウル特別市,Seoul,道峰区,Dobong-gu,パンハクドン,Banghak-dong,서울특별시 도봉구 도봉로145길 78 1층,02-956-3822,,,37.664718,127.038289,店舗単位,,0,軽飲食店,"https://www.google.com/maps/search/?api=1&query=37.664718,127.038289",https://map.naver.com/p/search/오카페%20방학동%20서울특별시%20도봉구%20도봉로145길%2078%201층,https://www.diningcode.com/profile.php?rid=SagWEKAzUscn,"베이커리, 샌드위치"
159,カフェ/Cafe,ウォンバイト,OneBite,원바이트,カフェ・軽食,Cafe & Snacks,,,店内OK / Indoors OK,なし/No,チャンドン（倉洞）,Chang-Dong,960,ソウル特別市,Seoul,道峰区,Dobong-gu,パンハクドン,Banghak-dong,서울특별시 도봉구 방학로3길 12,,,,37.659149,127.039849,通り単位,,0,軽飲食店,"https://www.google.com/maps/search/?api=1&query=37.659149,127.039849",https://map.naver.com/p/search/원바이트%20서울특별시%20도봉구%20방학로3길%2012,,
160,カフェ/Cafe,チョストシーズン ッサンムニョク,just season,저스트시즌 쌍문역,カフェ,Cafe,カフェ,Cafe,店内OK / Indoors OK,あり/Yes,ッサンムン（雙門）,Ssangmun,380,ソウル特別市,Seoul,道峰区,Dobong-gu,チャンドン,Chang-dong,서울특별시 도봉구 도봉로110다길 26 1층,,http://www.instagram.com/cafe_just.season,,37.645108,127.033574,店舗単位,,0,軽飲食店,"https://www.google.com/maps/search/?api=1&query=37.645108,127.033574",https://map.naver.com/p/search/저스트시즌%20쌍문역%20서울특별시%20도봉구%20도봉로110다길%2026%201층,https://www.diningcode.com/profile.php?rid=QE5PjvcMYc3e,카페
161,カフェ/Cafe,クリチン チャンハンピョンヨク,Greetin',그리팅 장한평역,カフェ,Cafe,カフェ・低糖,"Cafe, Low Sugar",店内OK / Indoors OK,あり/Yes,チャンハンピョン（長漢坪）,Janghanpyeong,140,ソウル特別市,Seoul,東大門区,Dongdaemun-gu,チャンアンドン,Jangan-dong,서울특별시 동대문구 천호대로83길 9 1층,0502-5552-9660,https://www.instagram.com/greeting_seoul,,37.562758,127.064425,店舗単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.562758,127.064425",https://map.naver.com/p/search/그리팅%20장한평역%20서울특별시%20동대문구%20천호대로83길%209%201층,https://www.diningcode.com/profile.php?rid=U7i0KHxtRpMx,"카페, 저당"
162,ごはん/Meal,ミニュエッ フェギ,Minyuet Hoegi,미뉴엣 회기,サンドイッチ・サラダ,Sandwich & Salad,ブランチ・ポケ,"Brunch, Poke Bowl",店内OK / Indoors OK,あり/Yes,フェギ（回基）,Hoegi,230,ソウル特別市,Seoul,東大門区,Dongdaemun-gu,フィギョンドン,Hwigyeong-dong,서울특별시 동대문구 망우로 19 1층 미뉴엣,,https://www.instagram.com/menewat_cafe/,,37.588175,127.055564,店舗単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.588175,127.055564",https://map.naver.com/p/search/미뉴엣%20회기%20서울특별시%20동대문구%20망우로%2019%201층%20미뉴엣,https://www.diningcode.com/profile.php?rid=ULldl7isUfpz,"브런치, 포케"
163,カフェ/Cafe,ベイピ ピグ Baby Pig,Bay Bi Pigeu Baby Pig,베이비 피그 Baby Pig,カフェ・軽食,Cafe & Snacks,,,店内OK / Indoors OK,なし/No,チョンリャンリ（清涼里）,Cheongnyangni,590,ソウル特別市,Seoul,東大門区,Dongdaemun-gu,チョンノンドン,Jeonnong-dong,서울특별시 동대문구 전농로 233,070-4035-7754,https://www.instagram.com/__baby__pig,,37.584773,127.052461,建物単位,,0,軽飲食店,"https://www.google.com/maps/search/?api=1&query=37.584773,127.052461",https://map.naver.com/p/search/베이비%20피그%20Baby%20Pig%20서울특별시%20동대문구%20전농로%20233,,
164,カフェ/Cafe,ステイ ヨンドゥドン,sta2,스테이 용두동,コーヒー専門,Specialty Coffee,カフェ・コーヒー,"Cafe, Coffee",店内OK / Indoors OK,なし/No,ヨンドゥ（龍頭）,Yongdu,90,ソウル特別市,Seoul,東大門区,Dongdaemun-gu,ヨンドゥドン,Yongdu-dong,서울특별시 동대문구 고산자로 393-6 1층,010-3420-0712,http://www.instagram.com/sta_2_,,37.574815,127.037671,店舗単位,4,1,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.574815,127.037671",https://map.naver.com/p/search/스테이%20용두동%20서울특별시%20동대문구%20고산자로%20393-6%201층,https://www.diningcode.com/profile.php?rid=6eIRmU8Rb9AN,"카페, 커피"
165,ごはん/Meal,シエロシネマ CieloCinema,Sierosinema CieloCinema,시에로시네마 CieloCinema,レストラン,Restaurant,,,店内OK / Indoors OK,なし/No,チョンリャンリ（清涼里）,Cheongnyangni,310,ソウル特別市,Seoul,東大門区,Dongdaemun-gu,チョンノンドン,Jeonnong-dong,서울특별시 동대문구 서울시립대로 80-1,0503-7153-8828,https://www.instagram.com/cielocinema_/,,37.577996,127.049399,建物単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.577996,127.049399",https://map.naver.com/p/search/시에로시네마%20CieloCinema%20서울특별시%20동대문구%20서울시립대로%2080-1,,
166,カフェ/Cafe,ウォンドウォルコーヒーロースターズ タプシムニ,Wondeowol Coffee Roasters Dapsimni,원더월커피로스터스 답십리,スイーツ,Sweets,カフェ・デザート,"Cafe, Dessert",店内OK / Indoors OK,なし/No,シンダプ（新踏）,Sindap,600,ソウル特別市,Seoul,東大門区,Dongdaemun-gu,タプシムニドン,Dapsimni-dong,서울특별시 동대문구 답십리로 80,070-7724-6467,https://www.instagram.com/wonderwall_coffee,,37.574736,127.049521,店舗単位,3.3,2,軽飲食店,"https://www.google.com/maps/search/?api=1&query=37.574736,127.049521",https://map.naver.com/p/search/원더월커피로스터스%20답십리%20서울특별시%20동대문구%20답십리로%2080,https://www.diningcode.com/profile.php?rid=umT9hk2m0Xul,"카페, 디저트"
167,カフェ/Cafe,カフェ レイオプ チョンノンドン,LAYUP,카페 레이업 전농동,スイーツ,Sweets,カフェ・デザート,"Cafe, Dessert",店内OK / Indoors OK,なし/No,チョンリャンリ（清涼里）,Cheongnyangni,800,ソウル特別市,Seoul,東大門区,Dongdaemun-gu,チョンノンドン,Jeonnong-dong,서울특별시 동대문구 전농로 153 2층 카페 레이업,070-8244-7165,https://www.instagram.com/cafelayup,,37.578578,127.056916,店舗単位,5,1,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.578578,127.056916",https://map.naver.com/p/search/카페%20레이업%20전농동%20서울특별시%20동대문구%20전농로%20153%202층%20카페%20레이업,https://www.diningcode.com/profile.php?rid=sSH8JDtZW2Og,"카페, 디저트"
168,ごはん/Meal,コエン カンデメ コンウォン,Koen,코엔 간데메 공원,レストラン,Restaurant,,,店内OK / Indoors OK,なし/No,シンダプ（新踏）,Sindap,510,ソウル特別市,Seoul,東大門区,Dongdaemun-gu,タプシムニドン,Dapsimni-dong,서울특별시 동대문구 서울시립대로4길 35,0502-5554-4430,https://www.instagram.com/koen.gandeme,,37.574167,127.048549,建物単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.574167,127.048549",https://map.naver.com/p/search/코엔%20간데메%20공원%20서울특별시%20동대문구%20서울시립대로4길%2035,,
169,カフェ/Cafe,キョウコーヒー チャンアンドン,Kyou Coffee Jangandong,쿄우커피 장안동,コーヒー専門,Specialty Coffee,カフェ・コーヒー,"Cafe, Coffee",店内OK / Indoors OK,なし/No,チャンハンピョン（長漢坪）,Janghanpyeong,190,ソウル特別市,Seoul,東大門区,Dongdaemun-gu,チャンアンドン,Jangan-dong,서울특별시 동대문구 천호대로83길 22 1층,070-7585-0002,https://www.instagram.com/cafe_kyo,,37.563188,127.06488,店舗単位,4.5,1,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.563188,127.06488",https://map.naver.com/p/search/쿄우커피%20장안동%20서울특별시%20동대문구%20천호대로83길%2022%201층,https://www.diningcode.com/profile.php?rid=62QDafNZJAwJ,"카페, 커피"
170,ごはん/Meal,ハイオグラウンド チャンアンドン,High Eo Ground Jangandong,하이어그라운드 장안동,バー・居酒屋,Bar & Pub,ワインバー,Wine Bar,店内OK / Indoors OK,なし/No,チャンハンピョン（長漢坪）,Janghanpyeong,550,ソウル特別市,Seoul,東大門区,Dongdaemun-gu,チャンアンドン,Jangan-dong,서울특별시 동대문구 천호대로91길 57 1층,,https://www.instagram.com/higherground.seoul,,37.564138,127.069893,店舗単位,4.5,3,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.564138,127.069893",https://map.naver.com/p/search/하이어그라운드%20장안동%20서울특별시%20동대문구%20천호대로91길%2057%201층,https://www.diningcode.com/profile.php?rid=LoZ6RRm1Dmwt,와인바
171,カフェ/Cafe,ヘイリム ヨンドゥドン,Heirim Yongdudong,헤이림 용두동,カフェ,Cafe,カフェ・もちもちクッキー,"Cafe, Chewy Cookie",店内OK / Indoors OK,あり/Yes,ヨンドゥ（龍頭）,Yongdu,60,ソウル特別市,Seoul,東大門区,Dongdaemun-gu,ヨンドゥドン,Yongdu-dong,서울특별시 동대문구 고산자로 391 1층,02-968-1497,https://www.instagram.com/_heylim,,37.574585,127.037844,店舗単位,3.6,8,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.574585,127.037844",https://map.naver.com/p/search/헤이림%20용두동%20서울특별시%20동대문구%20고산자로%20391%201층,https://www.diningcode.com/profile.php?rid=8TfajLd29wVY,"카페, 두쫀쿠"
172,カフェ/Cafe,モチコーヒー サダン,muchcoffee,머치커피 사당,コーヒー専門,Specialty Coffee,コーヒー・カフェ,"Coffee, Cafe",店内OK / Indoors OK,あり/Yes,サダン（舍堂）,Sadang,500,ソウル特別市,Seoul,銅雀区,Dongjak-gu,サダンドン,Sadang-dong,서울특별시 동작구 동작대로9길 43 1층,0507-1320-2726,https://www.instagram.com/muchcoffee_official/,,37.480638,126.979133,店舗単位,4.4,20,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.480638,126.979133",https://map.naver.com/p/search/머치커피%20사당%20서울특별시%20동작구%20동작대로9길%2043%201층,https://www.diningcode.com/profile.php?rid=t1bcxAQ9Gttt,"커피, 카페"
173,ごはん/Meal,セノクコリア,Senokkoria,세녹코리아,レストラン,Restaurant,,,店内OK / Indoors OK,なし/No,スンシルデイプグ（崇実大入口）,Soongsil Univ.,220,ソウル特別市,Seoul,銅雀区,Dongjak-gu,サダンドン,Sadang-dong,서울특별시 동작구 사당로 304,,,,37.495333,126.956557,通り単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.495333,126.956557",https://map.naver.com/p/search/세녹코리아%20서울특별시%20동작구%20사당로%20304,,
174,ごはん/Meal,スペース ノドル ケイ,Space Nodeul Kei,스페이스 노들 케이,レストラン,Restaurant,,,店内OK / Indoors OK,なし/No,フクソク（黒石）,Heukseok,580,ソウル特別市,Seoul,銅雀区,Dongjak-gu,ポンドン,Bon-dong,서울특별시 동작구 현충로 11,,,,37.505944,126.969701,通り単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.505944,126.969701",https://map.naver.com/p/search/스페이스%20노들%20케이%20서울특별시%20동작구%20현충로%2011,,
175,カフェ/Cafe,オルアラウンドユ ナムソンヨク,ALL AROUND YOU,올어라운드유 남성역,スイーツ,Sweets,デザート・カフェ,"Dessert, Cafe",店内OK / Indoors OK,なし/No,ナムソン（南城）,Namseong,260,ソウル特別市,Seoul,銅雀区,Dongjak-gu,サダンドン,Sadang-dong,서울특별시 동작구 사당로 188,0507-1411-5513,,,37.485441,126.969234,店舗単位,4,2,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.485441,126.969234",https://map.naver.com/p/search/올어라운드유%20남성역%20서울특별시%20동작구%20사당로%20188,https://www.diningcode.com/profile.php?rid=hpnhU8Whj0Od,"디저트, 카페"
176,カフェ/Cafe,チャンヂソゲイッダゴサンサンウルヘ サンドヨク,Jandisogeitdagosangsangeulhae Sangdoyeok,잔디속에있다고상상을해 상도역,カフェ,Cafe,カフェ・ヴィーガン,"Cafe, Vegan",店内OK / Indoors OK,なし/No,サンド（上道）,Sangdo,150,ソウル特別市,Seoul,銅雀区,Dongjak-gu,,,서울특별시 동작구 상도로 265-30 2층,0507-1326-1809,https://instagram.com/jandi_sok,,37.504213,126.948811,店舗単位,4.4,7,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.504213,126.948811",https://map.naver.com/p/search/잔디속에있다고상상을해%20상도역%20서울특별시%20동작구%20상도로%20265-30%202층,https://www.diningcode.com/profile.php?rid=eRL3UCPOUuCb,"카페, 비건"
177,ごはん/Meal,チョンナモク ノリャンジンジョム,Jeongnamok Noryangjinjeom,정남옥 노량진점,韓国料理,Korean,スンデグク・釜炊き,"Sundae Soup, Cauldron-cooked",店内OK / Indoors OK,なし/No,ノリャンジン（鷺梁津）,Noryangjin,80,ソウル特別市,Seoul,銅雀区,Dongjak-gu,ノリャンジンドン,Noryangjin-dong,서울특별시 동작구 노량진로 148-5 1층,,,,37.513284,126.942404,店舗単位,3.8,2,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.513284,126.942404",https://map.naver.com/p/search/정남옥%20노량진점%20서울특별시%20동작구%20노량진로%20148-5%201층,https://www.diningcode.com/profile.php?rid=dDRNJXrJqpLy,"순대국, 가마솥"
178,カフェ/Cafe,チョンウ チハウス サダンヨク,Jeongu Ti House Sadangyeok,정우 티하우스 사당역,茶カフェ,Tea House,カフェ・茶館,"Cafe, Tea House",店内OK / Indoors OK,なし/No,サダン（舍堂）,Sadang,390,ソウル特別市,Seoul,銅雀区,Dongjak-gu,サダンドン,Sadang-dong,서울특별시 동작구 동작대로9가길 18-1 1층,,https://www.instagram.com/jungwoo_teahouse,,37.479642,126.979502,店舗単位,,0,軽飲食店,"https://www.google.com/maps/search/?api=1&query=37.479642,126.979502",https://map.naver.com/p/search/정우%20티하우스%20사당역%20서울특별시%20동작구%20동작대로9가길%2018-1%201층,https://www.diningcode.com/profile.php?rid=WT9wmk5b8CL2,"카페, 찻집"
